-0.58, 0.4075, 0, 0.35, 0.57, 0.72 
-0.54, 0.4075, 0, 0.35, 0.57, 0.72 
-0.58, 0.3575, 0, 0.35, 0.57, 0.72 
-0.54, 0.3575, 0, 0.35, 0.57, 0.72 
-0.39, 0.025, 0, 0.35, 0.57, 0.72 
-0.35, 0.025, 0, 0.35, 0.57, 0.72 
-0.39, -0.025, 0, 0.35, 0.57, 0.72 
-0.35, -0.025, 0, 0.35, 0.57, 0.72 
0.344, 0.5625, 0, 0.35, 0.57, 0.72 
0.384, 0.5625, 0, 0.35, 0.57, 0.72 
0.344, 0.5125, 0, 0.35, 0.57, 0.72 
0.384, 0.5125, 0, 0.35, 0.57, 0.72 
0.616, -0.0775, 0, 0.35, 0.57, 0.72 
0.656, -0.0775, 0, 0.35, 0.57, 0.72 
0.616, -0.1275, 0, 0.35, 0.57, 0.72 
0.656, -0.1275, 0, 0.35, 0.57, 0.72 
0.632, -0.1125, 0, 0.35, 0.57, 0.72 
0.672, -0.1125, 0, 0.35, 0.57, 0.72 
0.632, -0.1625, 0, 0.35, 0.57, 0.72 
0.672, -0.1625, 0, 0.35, 0.57, 0.72 
0.708, 0.4175, 0, 0.35, 0.57, 0.72 
0.748, 0.4175, 0, 0.35, 0.57, 0.72 
0.708, 0.3675, 0, 0.35, 0.57, 0.72 
0.748, 0.3675, 0, 0.35, 0.57, 0.72 
0.708, 0.42, 0, 0.35, 0.57, 0.72 
0.748, 0.42, 0, 0.35, 0.57, 0.72 
0.708, 0.37, 0, 0.35, 0.57, 0.72 
0.748, 0.37, 0, 0.35, 0.57, 0.72 
0.76, 0.565, 0, 0.35, 0.57, 0.72 
0.8, 0.565, 0, 0.35, 0.57, 0.72 
0.76, 0.515, 0, 0.35, 0.57, 0.72 
0.8, 0.515, 0, 0.35, 0.57, 0.72 
0.522, 0.6875, 0, 0.35, 0.57, 0.72 
0.562, 0.6875, 0, 0.35, 0.57, 0.72 
0.522, 0.6375, 0, 0.35, 0.57, 0.72 
0.562, 0.6375, 0, 0.35, 0.57, 0.72 
-0.35, -0.075, 0, 0.35, 0.57, 0.72 
-0.31, -0.075, 0, 0.35, 0.57, 0.72 
-0.35, -0.125, 0, 0.35, 0.57, 0.72 
-0.31, -0.125, 0, 0.35, 0.57, 0.72 
